Country,Population,Urban Population,Agricultural Land(%),Land Area (km2)
Nicaragua,6545502.0,3846137.0,0.42100000000000004,130370.0
Niger,23310715.0,3850231.0,0.361,1267000.0
Nigeria,200963599.0,102806948.0,0.777,923768.0
North Korea,25666161.0,15947412.0,0.218,120538.0
North Macedonia,1836713.0,0.0,0.0,25713.0
Norway,5347896.0,4418218.0,0.027000000000000003,323802.0
Oman,5266535.0,4250777.0,0.046,309500.0
Pakistan,216565318.0,79927762.0,0.478,796095.0
Palau,18233.0,14491.0,0.109,459.0
Palestinian National Authority,0.0,0.0,0.0,0.0
Panama,4246439.0,2890084.0,0.304,75420.0
Papua New Guinea,8776109.0,1162834.0,0.026000000000000002,462840.0
Paraguay,7044636.0,4359150.0,0.551,406752.0
Peru,32510453.0,25390339.0,0.185,1285216.0
Philippines,108116615.0,50975903.0,0.41700000000000004,300000.0
Poland,37970874.0,22796574.0,0.469,312685.0
Portugal,10269417.0,6753579.0,0.395,92212.0
Qatar,2832067.0,2809071.0,0.057999999999999996,11586.0
Romania,19356544.0,10468793.0,0.588,238391.0
Russia,144373535.0,107683889.0,0.133,17098240.0
Rwanda,12626950.0,2186104.0,0.7340000000000001,26338.0
Saint Kitts and Nevis,52823.0,16269.0,0.231,261.0
Saint Lucia,182790.0,34280.0,0.174,616.0
Saint Vincent and the Grenadines,100455.0,58185.0,0.256,389.0
Samoa,202506.0,35588.0,0.124,2831.0
San Marino,33860.0,32969.0,0.16699999999999998,61.0
S�����������,215056.0,158277.0,0.507,964.0
Saudi Arabia,34268528.0,28807838.0,0.8079999999999999,2149690.0
Senegal,16296364.0,7765706.0,0.461,196722.0
Serbia,6944975.0,3907243.0,0.39299999999999996,77474.0
Seychelles,97625.0,55762.0,0.034,455.0
Sierra Leone,7813215.0,3319366.0,0.547,71740.0
Singapore,5703569.0,5703569.0,0.009000000000000001,716.0
Slovakia,5454073.0,2930419.0,0.392,49035.0
Slovenia,2087946.0,1144654.0,0.307,20273.0
Solomon Islands,669823.0,162164.0,0.039,28896.0
Somalia,15442905.0,7034861.0,0.703,637657.0
South Africa,58558270.0,39149717.0,0.7979999999999999,1219090.0
South Korea,51709098.0,42106719.0,0.174,99720.0
South Sudan,11062113.0,2201250.0,0.0,644329.0
Spain,47076781.0,37927409.0,0.526,505370.0
Sri Lanka,21803000.0,4052088.0,0.43700000000000006,65610.0
Sudan,42813238.0,14957233.0,0.287,1861484.0
Suriname,581372.0,384258.0,0.006,163820.0
Sweden,10285453.0,9021165.0,0.07400000000000001,450295.0
Switzerland,8574832.0,6332428.0,0.384,41277.0
Syria,17070135.0,9358019.0,0.758,185180.0
Tajikistan,9321018.0,2545477.0,0.341,144100.0
Tanzania,58005463.0,20011885.0,0.44799999999999995,947300.0
Thailand,69625582.0,35294600.0,0.433,513120.0
East Timor,3500000.0,400182.0,0.256,14874.0
Togo,8082366.0,3414638.0,0.7020000000000001,56785.0
Tonga,100209.0,24145.0,0.45799999999999996,747.0
Trinidad and Tobago,1394973.0,741944.0,0.105,5128.0
Tunisia,11694719.0,8099061.0,0.648,163610.0
Turkey,83429615.0,63097818.0,0.498,783562.0
Turkmenistan,5942089.0,3092738.0,0.72,488100.0
Tuvalu,11646.0,7362.0,0.6,26.0
Uganda,44269594.0,10784516.0,0.7190000000000001,241038.0
Ukraine,44385155.0,30835699.0,0.7170000000000001,603550.0
United Arab Emirates,9770529.0,8479744.0,0.055,83600.0
United Kingdom,66834405.0,55908316.0,0.7170000000000001,243610.0
United States,328239523.0,270663028.0,0.444,9833517.0
Uruguay,3461734.0,3303394.0,0.826,176215.0
Uzbekistan,33580650.0,16935729.0,0.629,447400.0
Vanuatu,299882.0,76152.0,0.153,12189.0
Venezuela,28515829.0,25162368.0,0.245,912050.0
Vietnam,96462106.0,35332140.0,0.39299999999999996,331210.0
Yemen,29161922.0,10869523.0,0.446,527968.0
Zambia,17861030.0,7871713.0,0.321,752618.0
Zimbabwe,14645468.0,4717305.0,0.419,390757.0
